"Gene","K","l","Day","LeuLysMet"
"BMMMMP",106.73131,13.44715,4,"MMM"
"APMPMP",118.02208,10.94912,4,"MPM"
"APMPPM",118.69657,12.48719,4,"MPP"
"BMPPMM",122.4346,10.59737,4,"PPM"
"BMPMMP",95.35649,13.95474,4,"PMM"
"AMPMMM",120.35242,11.48625,4,"PMM"
"BMPPMP",120.84581,10.05023,4,"PPM"
"BPMMPP",91.07358,13.39694,4,"MMP"
"AMMMPM",117.30827,12.15305,4,"MMP"
"BPPPMM",119.97811,11.05044,4,"PPM"
"IPPPPP",119.7923,11.35187,4,"PrPrPr"
"AMMPPP",120.8456,10.16059,4,"MPP"
"APMMMM",84.6007,13.70307,4,"MMM"
"BPMMPM",117.5167,12.83801,4,"MMP"
"BPPMPP",111.6593,13.73107,4,"PMP"
"AMPPMP",120.0013,11.57059,4,"PPM"
"APPPMP",120.95879,10.6224,4,"PPM"
"BPPMMP",92.73178,13.26722,4,"PMM"
"APMPPP",122.52315,11.49567,4,"MPP"
"AMMPPM",126.42646,11.22349,4,"MPP"
"BMPPPM",134.44039,10.93828,4,"PPP"
"BMPPMP",126.62122,10.70645,4,"PPM"
"APPMPM",121.26832,12.58414,4,"PMP"
"AMMMPM",71.76387,16.72249,4,"MMP"
"BMMMMP",116.74581,13.43713,4,"MMM"
"BPMPPM",119.83923,11.56058,4,"MPP"
"BMPPPM",122.09759,11.02242,4,"PPP"
"APPMMP",97.80547,13.47208,4,"PMM"
"APMPMP",117.66449,12.08807,4,"MPM"
"APMPPM",119.13058,12.35779,4,"MPP"
"BMMPPP",119.70413,9.91399,4,"MPP"
"AMPMPP",120.53216,11.25692,4,"PMP"
"BPPMPM",80.13337,13.74539,4,"PMP"
"BPPPMP",120.58409,10.64491,4,"PPM"
"AMPPMM",117.90123,11.9566,4,"PPM"
"BMMMMM",90.22497,12.40233,4,"MMM"
"APMMMP",117.61136,11.877,4,"MMM"
"BPMPMP",117.47215,11.31397,4,"MPM"
"BMMMPP",109.86102,13.94994,4,"MMP"
"BPPPPM",122.11039,10.28594,4,"PPP"
"BPPPMM",121.26069,12.05075,4,"PPM"
"AMPMPM",117.45667,13.62794,4,"PMP"
"APMPMP",118.17497,13.17935,4,"MPM"
"AMMMMP",105.66949,13.9501,4,"MMM"
"APPMPM",127.0555,14.91335,4,"PMP"
"BMPMPP",123.99608,13.65421,4,"PMP"
"BPPPPM",121.7453,12.23614,4,"PPP"
"BPMPMM",119.14181,12.168,4,"MPM"
"BPMMPP",116.16744,13.42044,4,"MMP"
"APMPMM",116.13836,11.93259,4,"MPM"
"AMMPMP",111.7237,13.07836,4,"MPM"
"AMPMPP",117.31826,12.655,4,"PMP"
"AMPMMM",117.78745,11.96226,4,"PMM"
"AMPMPP",111.41611,14.58918,4,"PMP"
"AMPMMP",115.75806,13.1576,4,"PMM"
"BPPPMP",120.73013,10.01554,4,"PPM"
"BPMMPM",117.1712,12.77093,4,"MMP"
"BMMPMM",111.37926,12.72251,4,"MPM"
"AMMPPM",118.62785,11.9826,4,"MPP"
"APMMPM",116.78372,12.36867,4,"MMP"
"BPPPMP",120.12257,11.01275,4,"PPM"
"BPMPMP",115.58241,11.68333,4,"MPM"
"AMPPPM",122.19582,9.95854,4,"PPP"
"APMPPP",121.47337,10.49142,4,"MPP"
"AMMMMP",120.1922,12.46399,4,"MMM"
"AMPMPM",118.48088,13.6752,4,"PMP"
"BPPMMM",91.0729,13.42676,4,"PMM"
"BMPMMM",126.7416,11.65036,4,"PMM"
"BPMPPP",134.75194,12.02616,4,"MPP"
"BMMPPP",125.07435,11.37122,4,"MPP"
"APMMPP",119.36357,12.90241,4,"MMP"
"BPPMMM",97.33676,13.91012,4,"PMM"
"BMMMMP",92.99937,14.34809,4,"MMM"
"AMMMMP",118.17034,12.74315,4,"MMM"
"BMPPPM",121.30847,10.81108,4,"PPP"
"APPPPM",122.33867,9.88813,4,"PPP"
"APPPMM",119.7085,12.10071,4,"PPM"
"IPPPPP",122.75058,9.70678,4,"PrPrPr"
"AMPMPM",89.73431,13.25807,4,"PMP"
"BMMMMM",115.18857,12.28745,4,"MMM"
"BPMPMP",115.19331,11.2283,4,"MPM"
"AMPMPP",119.54516,11.60005,4,"PMP"
"BPPPPM",121.98668,10.52334,4,"PPP"
"APMPMM",117.11718,11.74489,4,"MPM"
"AMMMMP",109.80943,12.7717,4,"MMM"
"APMPMP",117.4868,10.4464,4,"MPM"
"IPPPPP",120.73851,10.96653,4,"PrPrPr"
"BPPMMP",115.30848,13.79473,4,"PMM"
"AMMMPM",83.14955,13.96495,4,"MMP"
"BMMMPM",122.1138,12.00042,4,"MMP"
"BPPPMP",121.45537,12.21631,4,"PPM"
"AMPPPP",127.40534,10.67784,4,"PPP"
"BMMMMM",122.77228,14.15754,4,"MMM"
"AMMPMP",123.04671,11.37391,4,"MPM"
"BMPPMP",120.94583,11.98277,4,"PPM"
"BPPMPM",118.77777,12.70414,4,"PMP"
"AMMPPP",120.76689,11.30213,4,"MPP"
"BMMPMM",115.19674,13.47755,4,"MPM"
"APMMPM",115.97655,14.12865,4,"MMP"
"AMMMMM",116.38021,12.82656,4,"MMM"
"BPPMMM",111.92354,14.81527,4,"PMM"
"BPMMMP",117.92333,12.35573,4,"MMM"
"AMPMMP",116.41075,12.81551,4,"PMM"
"BMPMPM",111.76341,14.54464,4,"PMP"
"AMMMPM",115.722,12.45945,4,"MMP"
"AMPMMM",115.06387,12.84558,4,"PMM"
"BPMPPM",115.98955,12.7126,4,"MPP"
"BPPMMM",94.03871,12.66633,4,"PMM"
"APPPMP",120.40077,10.95345,4,"PPM"
"AMMPMM",114.69452,11.26942,4,"MPM"
"BPPPPM",118.71908,10.74099,4,"PPP"
"BPPMMP",95.19086,12.54254,4,"PMM"
"AMMMMP",92.19295,13.45543,4,"MMM"
"APPMPP",84.51704,14.31285,4,"PMP"
