"Gene","K","l","Day","LeuLysMet"
"BMMMMP",76.30194,18.71965,26,"MMM"
"APMPMP",117.81282,13.92201,26,"MPM"
"APMPPM",73.35176,22.70012,26,"MPP"
"BMPPMM",118.16994,14.79452,26,"PPM"
"BMPMMP",118.51763,11.48215,26,"PMM"
"AMPMMM",118.96599,11.38626,26,"PMM"
"BMPPMP",115.92401,12.55828,26,"PPM"
"BPMMPP",117.79268,11.83555,26,"MMP"
"AMMMPM",120.08295,12.11613,26,"MMP"
"BPPPMM",116.02245,14.16259,26,"PPM"
"IPPPPP",116.56785,14.14333,26,"PrPrPr"
"AMMPPP",111.84034,17.017,26,"MPP"
"APMMMM",121.53359,12.09306,26,"MMM"
"BPMMPM",63.34345,18.95857,26,"MMP"
"BPPMPP",68.97041,18.49294,26,"PMP"
"AMPPMP",120.01615,15.40259,26,"PPM"
"APPPMP",122.82154,14.42882,26,"PPM"
"BPPMMP",88.41719,19.00821,26,"PMM"
"APMPPP",113.63625,17.39918,26,"MPP"
"AMMPPM",121.80655,17.26995,26,"MPP"
"BMPPPM",132.47317,14.49406,26,"PPP"
"BMPPMP",124.51054,14.22562,26,"PPM"
"APPMPM",122.14553,13.7742,26,"PMP"
"AMMMPM",57.94276,19.59624,26,"MMP"
"BMMMMP",116.0519,15.12658,26,"MMM"
"BPMPPM",111.01071,16.6658,26,"MPP"
"BMPPPM",120.46322,14.34585,26,"PPP"
"APPMMP",120.65781,12.71102,26,"PMM"
"APMPMP",113.8901,13.37471,26,"MPM"
"APMPPM",112.91485,15.44273,26,"MPP"
"BMMPPP",117.44858,14.22468,26,"MPP"
"AMPMPP",119.11476,11.72001,26,"PMP"
"BPPMPM",113.70445,14.75653,26,"PMP"
"BPPPMP",117.86045,12.27766,26,"PPM"
"AMPPMM",117.44786,13.7774,26,"PPM"
"BMMMMM",118.74061,12.48477,26,"MMM"
"APMMMP",116.6345,14.43314,26,"MMM"
"BPMPMP",115.83744,14.92674,26,"MPM"
"BMMMPP",119.83005,13.11623,26,"MMP"
"BPPPPM",121.819,14.42907,26,"PPP"
"BPPPMM",122.63294,14.15978,26,"PPM"
"AMPMPM",71.09021,19.2692,26,"PMP"
"APMPMP",122.47359,14.2126,26,"MPM"
"AMMMMP",54.83347,29.49997,26,"MMM"
"APPMPM",130.82171,19.20162,26,"PMP"
"BMPMPP",127.03194,13.24169,26,"PMP"
"BPPPPM",119.91963,14.66631,26,"PPP"
"BPMPMM",118.00781,13.50429,26,"MPM"
"BPMMPP",117.45853,14.31698,26,"MMP"
"APMPMM",114.90274,13.90092,26,"MPM"
"AMMPMP",114.90321,12.5037,26,"MPM"
"AMPMPP",116.86106,12.88916,26,"PMP"
"AMPMMM",115.54282,11.54406,26,"PMM"
"AMPMPP",119.53824,12.26341,26,"PMP"
"AMPMMP",121.05102,12.2851,26,"PMM"
"BPPPMP",113.93229,14.50759,26,"PPM"
"BPMMPM",120.77367,11.78577,26,"MMP"
"BMMPMM",110.08316,15.14519,26,"MPM"
"AMMPPM",109.18198,17.10942,26,"MPP"
"APMMPM",121.16949,12.47566,26,"MMP"
"BPPPMP",119.85023,13.19081,26,"PPM"
"BPMPMP",116.23952,14.85814,26,"MPM"
"AMPPPM",119.974,14.15378,26,"PPP"
"APMPPP",109.22099,17.63021,26,"MPP"
"AMMMMP",122.56489,13.35495,26,"MMM"
"AMPMPM",123.00729,14.28672,26,"PMP"
"BPPMMM",80.78665,19.37673,26,"PMM"
"BMPMMM",128.59156,13.66439,26,"PMM"
"BPMPPP",131.95688,16.28339,26,"MPP"
"BMMPPP",118.90105,18.50794,26,"MPP"
"APMMPP",121.64577,14.05047,26,"MMP"
"BPPMMM",77.51498,18.6782,26,"PMM"
"BMMMMP",117.74083,13.84225,26,"MMM"
"AMMMMP",114.88058,14.26269,26,"MMM"
"BMPPPM",117.00075,14.31542,26,"PPP"
"APPPPM",115.90877,12.60471,26,"PPP"
"APPPMM",115.97071,13.61725,26,"PPM"
"IPPPPP",115.7022,13.53816,26,"PrPrPr"
"AMPMPM",66.53247,17.4326,26,"PMP"
"BMMMMM",116.71924,11.73177,26,"MMM"
"BPMPMP",117.56772,12.51556,26,"MPM"
"AMPMPP",120.23934,13.42984,26,"PMP"
"BPPPPM",117.39835,15.26774,26,"PPP"
"APMPMM",114.86778,14.84021,26,"MPM"
"AMMMMP",121.36011,13.05566,26,"MMM"
"APMPMP",114.50966,14.3326,26,"MPM"
"IPPPPP",119.93704,14.5772,26,"PrPrPr"
"BPPMMP",123.52459,12.14871,26,"PMM"
"AMMMPM",65.71088,19.15161,26,"MMP"
"BMMMPM",124.61293,12.49259,26,"MMP"
"BPPPMP",122.78367,14.66132,26,"PPM"
"AMPPPP",125.37202,14.58446,26,"PPP"
"BMMMMM",128.63924,20.43102,26,"MMM"
"AMMPMP",122.62434,14.78111,26,"MPM"
"BMPPMP",119.79139,13.13124,26,"PPM"
"BPPMPM",120.72707,11.88054,26,"PMP"
"AMMPPP",99.77714,18.68713,26,"MPP"
"BMMPMM",113.68511,13.88961,26,"MPM"
"APMMPM",119.54514,12.92902,26,"MMP"
"AMMMMM",119.84209,11.97679,26,"MMM"
"BPPMMM",119.56906,12.76525,26,"PMM"
"BPMMMP",119.09269,13.00052,26,"MMM"
"AMPMMP",120.53349,11.47359,26,"PMM"
"BMPMPM",114.55364,14.01418,26,"PMP"
"AMMMPM",118.73849,13.66907,26,"MMP"
"AMPMMM",121.82429,12.85651,26,"PMM"
"BPMPPM",114.49171,15.92923,26,"MPP"
"BPPMMM",82.46714,18.34999,26,"PMM"
"APPPMP",119.50802,14.92233,26,"PPM"
"AMMPMM",120.96472,12.75056,26,"MPM"
"BPPPPM",120.31215,14.77383,26,"PPP"
"BPPMMP",90.49136,18.12958,26,"PMM"
"AMMMMP",84.5102,19.01156,26,"MMM"
"APPMPP",80.3286,17.9243,26,"PMP"
"APMMMP",90.8232,17.37611,26,"MMM"
"BPPMMP",124.91285,12.82664,26,"PMM"
"BMPPPM",133.69854,15.05002,26,"PPP"
"BMPPPP",125.45894,13.14521,26,"PPP"
"BPPPMM",118.12185,15.10117,26,"PPM"
"BMMMPM",120.20696,13.7323,26,"MMP"
"APMPPP",78.97518,20.26176,26,"MPP"
"APPMMP",118.39897,13.22482,26,"PMM"
"AMPMPM",120.83271,13.27324,26,"PMP"
"APMPMM",112.47612,14.3678,26,"MPM"
"BMMMMP",86.10543,17.29262,26,"MMM"
"BMPMPM",117.44425,14.3981,26,"PMP"
"BPMPMP",116.82048,12.2083,26,"MPM"
"BPMPMP",119.2774,14.21884,26,"MPM"
"BMPMMM",123.25311,12.33434,26,"PMM"
"APPPPM",119.52689,13.99197,26,"PPP"
"AMMPPP",53.20426,21.99957,26,"MPP"
"AMMMMP",120.79704,14.74238,26,"MMM"
"APPMPM",122.14926,14.23737,26,"PMP"
"IPPPPP",41.26626,32.25816,26,"PrPrPr"
"APMPPP",118.11646,16.63089,26,"MPP"
"IPPPPP",121.85762,14.85535,26,"PrPrPr"
"BMPMMM",73.34857,20.21753,26,"PMM"
"IPPPPP",123.86607,14.25687,26,"PrPrPr"
"APPPPM",121.12315,15.336,26,"PPP"
"IPPPPP",123.89405,14.76863,26,"PrPrPr"
"BMMMMP",135.13208,12.65846,26,"MMM"
"BPPMPP",124.43503,16.23349,26,"PMP"
"APPMPM",120.818,14.13219,26,"PMP"
"APMMMM",121.65886,12.54147,26,"MMM"
"IPMMMP",118.88084,14.03096,26,"MMM"
"AMMPMM",118.11817,14.40349,26,"MPM"
"BPPPMP",120.3274,12.97533,26,"PPM"
"IPPPPP",117.6904,15.416,26,"PrPrPr"
"APMPPM",116.88339,15.29709,26,"MPP"
"IPPPPP",121.11733,13.59068,26,"PrPrPr"
"APPPPM",122.69293,14.2025,26,"PPP"
"IPPPPP",19.23663,31.20083,26,"PrPrPr"
"BMPMPM",119.03769,14.81427,26,"PMP"
"APPMPP",119.15191,15.46159,26,"PMP"
"BPMMMP",124.45236,12.66865,26,"MMM"
"BMPPMP",119.72478,14.99878,26,"PPM"
"AMMPMP",118.18778,13.75036,26,"MPM"
"APMPMM",123.20593,13.93691,26,"MPM"
