"Gene","K","l","Day","LeuLysMet"
"AMMMMM",121.42179,10.6682,14,"MMM"
"BPPMMM",120.09506,12.78827,14,"PMM"
"BPMMMP",120.20822,11.23741,14,"MMM"
"AMPMMP",102.99014,14.36881,14,"PMM"
"BMPMPM",116.32444,11.57965,14,"PMP"
"AMMMPM",119.30873,11.78196,14,"MMP"
"AMPMMM",122.55269,10.38451,14,"PMM"
"BPMPPM",119.21297,13.73842,14,"MPP"
"BPPMMM",99.85533,16.24685,14,"PMM"
"APPPMP",116.52091,15.97485,14,"PPM"
"AMMPMM",122.02899,13.02604,14,"MPM"
"BPPPPM",119.02326,15.62555,14,"PPP"
"BPPMMP",104.8848,16.35502,14,"PMM"
"AMMMMP",93.46856,18.21241,14,"MMM"
"APPMPP",104.77754,15.192,14,"PMP"
"APMMMP",103.96476,15.82428,14,"MMM"
"BPPMMP",127.67823,11.45591,14,"PMM"
"BMPPPM",130.42179,17.27788,14,"PPP"
"BMPPPP",123.62743,19.56128,14,"PPP"
"BPPPMM",118.38357,16.50745,14,"PPM"
"BMMMPM",122.60459,10.80621,14,"MMP"
"APMPPP",119.25936,12.56481,14,"MPP"
"APPMMP",100.95124,14.36255,14,"PMM"
"AMPMPM",120.27032,11.24377,14,"PMP"
"APMPMM",112.86223,14.89908,14,"MPM"
"BMMMMP",119.91623,10.95931,14,"MMM"
"BMPMPM",120.12223,11.44041,14,"PMP"
"BPMPMP",120.38751,12.36445,14,"MPM"
"BPMPMP",116.67564,13.66511,14,"MPM"
"BMPMMM",99.99096,14.89333,14,"PMM"
"APPPPM",108.69978,17.77731,14,"PPP"
"AMMPPP",120.09011,13.13612,14,"MPP"
"AMMMMP",121.2488,12.85872,14,"MMM"
"APPMPM",124.47419,10.95609,14,"PMP"
"IPPPPP",112.04168,18.34903,14,"PrPrPr"
"APMPPP",122.60276,13.26375,14,"MPP"
"IPPPPP",113.49433,18.07279,14,"PrPrPr"
"BMPMMM",98.84697,17.35624,14,"PMM"
"IPPPPP",116.65511,17.52584,14,"PrPrPr"
"APPPPM",121.12044,15.65948,14,"PPP"
"IPPPPP",117.1806,18.09141,14,"PrPrPr"
"BMMMMP",134.70671,12.32927,14,"MMM"
"BPPMPP",126.36976,12.33219,14,"PMP"
"APPMPM",124.19947,10.93737,14,"PMP"
"APMMMM",66.82697,20.96132,14,"MMM"
"IPMMMP",123.50286,10.49563,14,"MMM"
"AMMPMM",117.07556,14.6119,14,"MPM"
"BPPPMP",120.38848,13.48983,14,"PPM"
"IPPPPP",108.38624,18.23657,14,"PrPrPr"
"APMPPM",118.67782,13.76967,14,"MPP"
"IPPPPP",111.17216,17.63244,14,"PrPrPr"
"APPPPM",115.80058,15.53839,14,"PPP"
"IPPPPP",111.10762,18.42476,14,"PrPrPr"
"BMPMPM",121.40048,11.72053,14,"PMP"
"APPMPP",121.65683,10.66898,14,"PMP"
"BPMMMP",122.86281,11.18454,14,"MMM"
"BMPPMP",116.88194,16.17977,14,"PPM"
"AMMPMP",120.78137,12.37493,14,"MPM"
"APMPMM",120.76714,12.40107,14,"MPM"
"IPPPPP",121.14368,14.50875,14,"PrPrPr"
"AMPMPP",124.92907,10.82094,14,"PMP"
"AMMMPM",125.24254,12.01748,14,"MMP"
"BPPPMM",120.24277,14.58453,14,"PPM"
"AMPMMM",126.35422,11.74091,14,"PMM"
"APMPMM",124.48819,13.89524,14,"MPM"
"BPMPMP",134.90847,13.22642,14,"MPM"
"BPMMPM",111.67654,18.21134,14,"MMP"
"BPPPMM",120.02587,15.36738,14,"PPM"
"APPPMP",113.69995,16.68938,14,"PPM"
"APMMPP",83.79805,16.25664,14,"MMP"
"BMPMMP",121.81777,11.95492,14,"PMM"
"AMPMMM",83.13529,16.76237,14,"PMM"
"AMMPPM",118.33942,12.39629,14,"MPP"
"BMMPPP",118.02858,13.45151,14,"MPP"
"AMMMPM",120.1242,10.28082,14,"MMP"
"APPMMP",121.98364,11.46657,14,"PMM"
"BPPMMP",119.52956,11.06638,14,"PMM"
"BPPMMP",98.49464,15.52417,14,"PMM"
"BPMPPM",119.06465,12.7829,14,"MPP"
"BMMPPM",119.34853,13.14361,14,"MPP"
"AMPPMP",113.58231,17.36117,14,"PPM"
"AMMPPM",119.85295,13.82232,14,"MPP"
"BMMPMP",115.97691,14.70652,14,"MPM"
"APMPMP",120.06053,13.06006,14,"MPM"
"AMMMMP",122.5028,11.28654,14,"MMM"
"BPPMPM",122.9792,10.86746,14,"PMP"
"APPMPM",123.08529,10.37602,14,"PMP"
"AMPMPP",123.10855,11.32678,14,"PMP"
"BPPPPM",113.52242,20.15543,14,"PPP"
"BMMPMM",132.2011,12.40525,14,"MPM"
"IPPPPP",121.13354,18.62765,14,"PrPrPr"
"IPPPPP",115.03401,16.68978,14,"PrPrPr"
"BPMMPM",121.99519,12.63597,14,"MMP"
"IMPPPM",109.16471,18.41147,14,"PPP"
"AMMMMM",121.18766,11.46207,14,"MMM"
"BPPPMP",119.53816,12.09361,14,"PPM"
"AMMPMM",114.35783,14.60162,14,"MPM"
"APMPPP",118.53974,11.5042,14,"MPP"
"BMMPPM",117.91754,13.23209,14,"MPP"
"AMMMMP",92.80055,16.2073,14,"MMM"
"BPPMPP",121.53557,11.77488,14,"PMP"
"APMPPP",119.74994,13.60789,14,"MPP"
"APMMMM",68.82067,18.44528,14,"MMM"
"BMPMPM",84.14366,16.84332,14,"PMP"
"AMPPPP",115.03601,15.72952,14,"PPP"
"BPPPMM",118.65975,14.99483,14,"PPM"
"BMMPMM",119.90307,13.15001,14,"MPM"
"BMPPMM",117.27619,14.96681,14,"PPM"
"BPPPPM",111.88439,16.55905,14,"PPP"
"IPPPPP",112.83648,16.66072,14,"PrPrPr"
"AMPMPP",122.88938,10.73183,14,"PMP"
"APMMMM",123.16799,10.52201,14,"MMM"
"APMMMP",122.957,13.93588,14,"MMM"
"AMMMPP",130.59933,12.16445,14,"MMP"
"BMPPMM",120.05047,17.88586,14,"PPM"
"BMPMMP",121.3526,12.74838,14,"PMM"
"APMMMM",120.48861,11.70405,14,"MMM"
"APPPPM",115.59073,15.79888,14,"PPP"
"APMMPP",118.84423,12.78799,14,"MMP"
"BPMPMP",116.50165,14.42077,14,"MPM"
"BMPPPP",118.85914,11.04666,14,"PPP"
"AMMMPM",119.63499,11.81586,14,"MMP"
"AMMMPM",116.551,14.90366,14,"MMP"
"BMPPPM",119.43112,12.45857,14,"PPP"
"BPPPMM",113.98277,16.44921,14,"PPM"
"BMMPPP",117.17569,13.81142,14,"MPP"
"AMPMMP",106.16851,14.36505,14,"PMM"
"APPMMM",120.57693,10.37264,14,"PMM"
"BPMPPP",119.21406,11.39203,14,"MPP"
"APMMMP",103.04177,14.99894,14,"MMM"
"BPMMMP",106.11883,14.4883,14,"MMM"
"APMMPM",120.90782,11.46472,14,"MMP"
"BPPMPM",100.73597,14.55718,14,"PMP"
"BMMMPM",120.68372,10.99471,14,"MMP"
"AMMPPP",118.56951,12.72693,14,"MPP"
"BPPPMP",113.44547,17.91541,14,"PPM"
"AMPPMM",122.69678,11.3497,14,"PPM"
"AMPPMP",129.86799,15.59042,14,"PPM"
"APMMPM",118.69444,10.28094,14,"MMP"
"AMPPMM",117.3911,15.22798,14,"PPM"
"BPMPMP",117.56295,12.26604,14,"MPM"
"APMMPP",119.7397,11.74474,14,"MMP"
"BMPPMP",116.92511,15.08589,14,"PPM"
"BMPMMP",111.22639,15.50686,14,"PMM"
"BPMPMM",120.16686,13.67707,14,"MPM"
"BPMPPM",117.79558,14.57983,14,"MPP"
"BMMMPM",104.80351,16.22245,14,"MMP"
"BMPMPM",120.4162,12.46085,14,"PMP"
"APPPMP",116.04304,11.31238,14,"PPM"
"BPPPPM",115.64889,11.46219,14,"PPP"
"BPPMPP",118.57907,10.70343,14,"PMP"
"APMPMP",117.58381,11.98309,14,"MPM"
"IPPPPP",113.79157,15.59609,14,"PrPrPr"
"AMMMMP",119.0331,11.45677,14,"MMM"
"AMMPMM",116.97333,12.8131,14,"MPM"
"BMPMPP",119.48918,11.96455,14,"PMP"
"APMMMM",118.31748,10.943,14,"MMM"
"AMPPMM",116.07978,13.97978,14,"PPM"
"BMPMMP",118.41429,11.81996,14,"PMM"
"APMMMM",120.47605,11.64506,14,"MMM"
"IPPPPP",119.0941,11.06637,14,"PrPrPr"
"BPMPPP",124.38475,14.2265,14,"MPP"
"APPMPM",108.40799,21.1694,14,"PMP"
"BPPMMP",107.95511,15.48998,14,"PMM"
"BMMMPP",117.27277,11.70338,14,"MMP"
"AMMPPM",115.09215,14.05902,14,"MPP"
"APMPMP",112.23661,14.54224,14,"MPM"
"BMMMMM",115.94918,11.71003,14,"MMM"
"BMPPMM",116.06383,16.12226,14,"PPM"
"IPPPPP",114.349,17.68928,14,"PrPrPr"
"AMPMMM",112.98147,15.83102,14,"PMM"
"AMMMMM",110.18557,16.27644,14,"MMM"
"BPMMPP",111.71518,15.9309,14,"MMP"
"BMMPPP",116.99752,13.85369,14,"MPP"
"BPPMMM",115.65664,15.25,14,"PMM"
"AMPMPM",113.533,17.30764,14,"PMP"
"AMMPPP",116.58286,12.59694,14,"MPP"
"BPPMMM",108.79159,15.59074,14,"PMM"
"BPMMPM",119.88566,11.75658,14,"MMP"
"BPPMPM",105.87472,15.62611,14,"PMP"
"AMPPMP",115.5577,15.05202,14,"PPM"
"BMMPPP",115.88081,12.80995,14,"MPP"
"BPPMMP",110.08484,15.45157,14,"PMM"
"APMMMP",119.90578,11.46981,14,"MMM"
"AMMPPM",115.95083,12.27913,14,"MPP"
"AMPPMM",121.95508,15.97951,14,"PPM"
"BMMPPM",116.42551,12.20882,14,"MPP"
"BPPPMM",114.41149,15.26317,14,"PPM"
"BMPMMP",106.45942,15.87271,14,"PMM"
"AMMPMP",113.95547,13.21866,14,"MPM"
"APPMPP",92.6699,15.98104,14,"PMP"
"BMPMPM",101.18726,16.85257,14,"PMP"
"APMPMM",119.72744,13.20599,14,"MPM"
"APMMPP",109.42407,15.52725,14,"MMP"
"AMMMPP",102.41335,16.97707,14,"MMP"
"AMPPMM",117.75514,15.15654,14,"PPM"
"BPPMPM",99.98434,17.29094,14,"PMP"
"AMMMPP",104.64653,15.91159,14,"MMP"
"APPPMM",115.93175,14.80012,14,"PPM"
"BPPMMM",120.03046,11.45051,14,"PMM"
"BMMPMP",117.50338,13.2671,14,"MPM"
"BPMPPP",117.06524,13.85278,14,"MPP"
"BMPMPP",87.87216,16.21963,14,"PMP"
"BMPMMM",118.61208,11.93339,14,"PMM"
"APMPMM",116.79845,13.05601,14,"MPM"
"BPMPMP",118.54821,13.05382,14,"MPM"
"APMPPM",118.6918,13.08752,14,"MPP"
"AMPMPP",87.84914,15.13278,14,"PMP"
"BMPMMP",122.49069,12.79991,14,"PMM"
"APMPPM",130.55883,13.23688,14,"MPP"
"BMPMPP",120.32391,12.02865,14,"PMP"
"AMMPPM",114.05079,14.74375,14,"MPP"
"BPMPMM",115.87423,13.50979,14,"MPM"
"AMPMMP",100.0609,15.34865,14,"PMM"
"APMPMM",115.22967,13.15799,14,"MPM"
"BPMPPM",116.82644,13.36491,14,"MPP"
"IPPMPP",88.78518,18.10246,14,"PMP"
"BPPMMP",106.25811,16.15368,14,"PMM"
"AMPMPP",104.30659,15.72847,14,"PMP"
"BPPMPP",120.99243,10.69715,14,"PMP"
"BPPPMP",114.25048,15.60961,14,"PPM"
"AMMMMM",102.84321,15.72002,14,"MMM"
"BMMPMM",116.49785,13.50138,14,"MPM"
"APMPPM",116.19955,13.26351,14,"MPP"
"APMMPM",119.62232,11.60453,14,"MMP"
"BMPPMP",113.82029,15.05689,14,"PPM"
"BPMPMP",116.86247,13.03676,14,"MPM"
"BPMMMM",119.18442,11.37663,14,"MMM"
"APMPPP",117.03713,12.30203,14,"MPP"
"IPPPPP",111.15474,17.08657,14,"PrPrPr"
"AMPMPM",72.78351,16.71868,14,"PMP"
"AMMMMM",89.49209,15.70363,14,"MMM"
"BMPMMM",93.84338,16.07915,14,"PMM"
"AMPPPP",127.20837,17.40956,14,"PPP"
"BMPPMP",119.91854,15.87189,14,"PPM"
"BPPMPM",97.49365,20.65292,14,"PMP"
"APMMMM",115.44887,12.18751,14,"MMM"
"APMPMP",114.76676,13.31709,14,"MPM"
"AMMPPM",115.14154,13.8811,14,"MPP"
"BMMPMM",117.98557,13.30517,14,"MPM"
"BPPMPP",95.97437,17.3367,14,"PMP"
"AMPMPM",101.72158,16.13799,14,"PMP"
"BPMMPM",99.49892,16.91775,14,"MMP"
"AMPMMP",100.21765,16.44871,14,"PMM"
"AMMPPP",109.97046,17.99598,14,"MPP"
"APMPPM",117.39998,13.57763,14,"MPP"
"BMPPMP",115.17305,14.68249,14,"PPM"
"BMMMMM",96.04176,16.06743,14,"MMM"
"APPMMM",120.24725,11.54516,14,"PMM"
"IPPPPP",112.83622,16.30314,14,"PrPrPr"
"BPMMMM",94.3167,16.11769,14,"MMM"
"APPPMP",115.92407,15.37326,14,"PPM"
"APMPPM",117.25595,14.26966,14,"MPP"
"BMPPMP",116.68939,14.58506,14,"PPM"
"BMPPMP",115.83831,14.87241,14,"PPM"
"AMMMPM",120.23165,11.58153,14,"MMP"
"AMPMPP",86.4344,15.85553,14,"PMP"
"BPMMPM",118.15565,17.73831,14,"MMP"
"AMMPPP",119.76791,13.94428,14,"MPP"
"APPPPM",112.65543,17.28373,14,"PPP"
"APPPMM",112.07322,16.34389,14,"PPM"
"APMPMP",114.67253,12.98288,14,"MPM"
"BMMMMP",116.88088,11.47628,14,"MMM"
"BMPMPP",91.69788,16.79583,14,"PMP"
"BPMMPM",95.6626,16.84286,14,"MMP"
"BMMMMM",121.28981,12.20476,14,"MMM"
"APMMMM",101.50554,15.65823,14,"MMM"
"BPPMMM",120.44412,12.39936,14,"PMM"
"AMMPPM",119.502,12.89209,14,"MPP"
"BMMPMP",115.75943,13.55742,14,"MPM"
"BMPMPP",118.85223,11.70043,14,"PMP"
"AMMPPP",116.37403,14.9384,14,"MPP"
"BPPPMP",114.82118,14.9152,14,"PPM"
"APPMPM",122.59084,11.62382,14,"PMP"
"BPPPMP",111.86854,18.34768,14,"PPM"
"BMPPMP",119.3533,15.01123,14,"PPM"
"AMPPMP",112.06667,17.79759,14,"PPM"
"BPMPPM",120.52097,12.66971,14,"MPP"
"AMMMPM",122.34559,11.73429,14,"MMP"
"APPMPP",120.22724,12.25383,14,"PMP"
"BPMMPM",119.36458,13.19261,14,"MMP"
"AMMMMM",131.77224,11.82747,14,"MMM"
"APPMPM",125.0668,11.91587,14,"PMP"
"APPPPM",112.43832,18.28132,14,"PPP"
"BMMMPP",120.86544,11.53161,14,"MMP"
"BMMMMP",117.34281,11.56223,14,"MMM"
"APMPMP",114.12414,14.73424,14,"MPM"
"APMPPM",118.53248,13.60925,14,"MPP"
"BMPPMM",112.95435,17.96886,14,"PPM"
"BMPMMP",121.46337,12.08468,14,"PMM"
"AMPMMM",121.69597,12.07302,14,"PMM"
"BMPPMP",118.31803,14.51927,14,"PPM"
"BPMMPP",95.34802,15.71757,14,"MMP"
"AMMMPM",120.97806,11.69393,14,"MMP"
"BPPPMM",118.5257,15.17006,14,"PPM"
"IPPPPP",115.15502,17.06062,14,"PrPrPr"
"AMMPPP",121.58329,12.2431,14,"MPP"
"APMMMM",97.15837,16.03004,14,"MMM"
"BPMMPM",90.625,16.48193,14,"MMP"
"BPPMPP",95.73102,16.32923,14,"PMP"
"AMPPMP",111.53747,18.84121,14,"PPM"
"APPPMP",118.01492,15.59416,14,"PPM"
"BPPMMP",88.6338,16.28776,14,"PMM"
"APMPPP",118.62324,14.80351,14,"MPP"
"AMMPPM",122.34676,14.02496,14,"MPP"
"BMPPPM",131.59958,15.9986,14,"PPP"
"BMPPMP",120.20511,18.99834,14,"PPM"
"APPMPM",122.82841,11.26737,14,"PMP"
"AMMMPM",86.13912,16.69348,14,"MMP"
"BMMMMP",120.80422,11.79605,14,"MMM"
"BPMPPM",118.22685,13.37068,14,"MPP"
"BMPPPM",116.36249,15.72139,14,"PPP"
"APPMMP",100.79891,16.28596,14,"PMM"
"APMPMP",118.28041,13.63117,14,"MPM"
"APMPPM",117.11785,14.44773,14,"MPP"
"BMMPPP",120.29189,12.96076,14,"MPP"
"AMPMPP",122.64091,11.6389,14,"PMP"
