"Gene","K","l","Day","LeuLysMet"
"APPMPM",110.29957,21.55214,14,"PMP"
"BPPMMP",107.26541,16.81723,14,"PMM"
"BMMMPP",114.66409,12.91317,14,"MMP"
"AMMPPM",113.71083,14.76871,14,"MPP"
"APMPMP",114.22316,14.84716,14,"MPM"
"BMMMMM",117.28385,13.14992,14,"MMM"
"BMPPMM",115.66593,16.17695,14,"PPM"
"IPPPPP",114.41618,18.78025,14,"PrPrPr"
"AMPMMM",110.3525,16.8356,14,"PMM"
"AMMMMM",110.87572,16.36983,14,"MMM"
"BPMMPP",111.95359,16.23708,14,"MMP"
"BMMPPP",116.64576,14.82902,14,"MPP"
"BPPMMM",114.77601,15.68449,14,"PMM"
"AMPMPM",111.26006,17.65791,14,"PMP"
"AMMPPP",115.65964,13.6387,14,"MPP"
"BPPMMM",109.23639,15.63672,14,"PMM"
"BPMMPM",113.80844,10.37272,14,"MMP"
"BPPMPM",109.33025,16.40842,14,"PMP"
"AMPPMP",116.7475,15.75829,14,"PPM"
"BMMPPP",114.54599,12.88921,14,"MPP"
"BPPMMP",110.68098,15.98767,14,"PMM"
"APMMMP",118.04801,11.95299,14,"MMM"
"AMMPPM",114.44153,12.68502,14,"MPP"
"AMPPMM",119.07897,15.45632,14,"PPM"
"BMMPPM",119.32853,12.55994,14,"MPP"
"BPPPMM",114.80443,14.74092,14,"PPM"
"BMPMMP",102.87073,13.98669,14,"PMM"
"AMMPMP",113.53607,13.77534,14,"MPM"
"APPMPP",99.95178,16.31601,14,"PMP"
"BMPMPM",101.73256,17.32226,14,"PMP"
"APMPMM",120.07284,13.42197,14,"MPM"
"APMMPP",106.54737,16.20466,14,"MMP"
"AMMMPP",105.62422,16.0967,14,"MMP"
"AMPPMM",116.21448,16.05101,14,"PPM"
"BPPMPM",100.04166,16.1945,14,"PMP"
"AMMMPP",106.79672,15.82113,14,"MMP"
"APPPMM",115.45479,15.18846,14,"PPM"
"BPPMMM",118.46508,11.46265,14,"PMM"
"BMMPMP",114.27621,13.78932,14,"MPM"
"BPMPPP",116.15983,13.37144,14,"MPP"
"BMPMPP",101.26942,15.91891,14,"PMP"
"BMPMMM",118.45313,11.30503,14,"PMM"
"APMPMM",115.0909,12.61215,14,"MPM"
"BPMPMP",115.77961,13.15481,14,"MPM"
"APMPPM",116.76534,13.95226,14,"MPP"
"AMPMPP",100.55977,15.82269,14,"PMP"
"BMPMMP",121.98952,12.06142,14,"PMM"
"APMPPM",124.51865,12.9482,14,"MPP"
"BMPMPP",119.80637,12.95663,14,"PMP"
"AMMPPM",115.95606,13.24473,14,"MPP"
"BPMPMM",113.54871,13.69988,14,"MPM"
"AMPMMP",96.2613,15.99051,14,"PMM"
"APMPMM",115.39255,13.34663,14,"MPM"
"BPMPPM",114.92383,13.77795,14,"MPP"
"IPPMPP",93.14182,17.89975,14,"PMP"
"BPPMMP",106.27417,16.18325,14,"PMM"
"AMPMPP",106.73044,15.29693,14,"PMP"
"BPPMPP",119.59782,10.94101,14,"PMP"
"BPPPMP",113.72027,16.50408,14,"PPM"
"AMMMMM",103.89417,15.73442,14,"MMM"
"BMMPMM",116.05906,13.36507,14,"MPM"
"APMPPM",115.86663,13.55729,14,"MPP"
"APMMPM",118.44838,10.74312,14,"MMP"
"BMPPMP",112.89353,15.66698,14,"PPM"
"BPMPMP",115.15553,13.69526,14,"MPM"
"BPMMMM",115.78579,12.70368,14,"MMM"
"APMPPP",114.77428,11.94227,14,"MPP"
"IPPPPP",111.25725,16.04165,14,"PrPrPr"
"AMPMPM",97.71666,15.80567,14,"PMP"
"AMMMMM",99.11752,16.3839,14,"MMM"
"BMPMMM",105.90586,15.68682,14,"PMM"
"AMPPPP",125.4366,16.55194,14,"PPP"
"BMPPMP",120.27264,16.88604,14,"PPM"
"BPPMPM",93.84945,18.179,14,"PMP"
"APMMMM",115.13716,12.23769,14,"MMM"
"APMPMP",113.89457,13.73089,14,"MPM"
"AMMPPM",114.85271,13.51435,14,"MPP"
"BMMPMM",116.32353,12.6143,14,"MPM"
"BPPMPP",98.0245,16.14393,14,"PMP"
"AMPMPM",100.95682,15.77125,14,"PMP"
"BPMMPM",97.03805,16.05428,14,"MMP"
"AMPMMP",103.26937,15.3031,14,"PMM"
"AMMPPP",110.52727,17.0382,14,"MPP"
"APMPPM",116.83573,13.2421,14,"MPP"
"BMPPMP",114.52168,14.19493,14,"PPM"
"BMMMMM",94.10536,15.85615,14,"MMM"
"APPMMM",118.33077,10.6603,14,"PMM"
"IPPPPP",111.85815,16.71036,14,"PrPrPr"
"BPMMMM",100.6689,15.94278,14,"MMM"
"APPPMP",115.68858,14.87323,14,"PPM"
"APMPPM",116.03372,13.92329,14,"MPP"
"BMPPMP",115.98037,14.31564,14,"PPM"
"BMPPMP",114.94514,14.7963,14,"PPM"
"AMMMPM",118.71761,11.96947,14,"MMP"
"AMPMPP",102.72895,15.94192,14,"PMP"
"BPMMPM",116.59312,17.4654,14,"MMP"
"AMMPPP",121.86151,13.67975,14,"MPP"
"APPPPM",112.75671,16.00511,14,"PPP"
"APPPMM",112.10791,15.8998,14,"PPM"
"APMPMP",114.56451,12.85023,14,"MPM"
"BMMMMP",117.12536,10.86963,14,"MMM"
"BMPMPP",86.80391,16.65153,14,"PMP"
"BPMMPM",95.19976,16.60646,14,"MMP"
"BMMMMM",120.51542,11.54088,14,"MMM"
"APMMMM",98.07592,15.99064,14,"MMM"
"BPPMMM",119.74694,11.04779,14,"PMM"
"AMMPPM",117.23982,12.00654,14,"MPP"
"BMMPMP",115.98616,12.65748,14,"MPM"
"BMPMPP",118.2615,10.80134,14,"PMP"
"AMMPPP",115.80698,14.7916,14,"MPP"
"BPPPMP",114.91357,15.66118,14,"PPM"
"APPMPM",121.33559,11.24076,14,"PMP"
"BPPPMP",112.97661,17.74357,14,"PPM"
"BMPPMP",118.12608,15.37288,14,"PPM"
"AMPPMP",112.9177,17.16395,14,"PPM"
"BPMPPM",119.10598,13.00598,14,"MPP"
"AMMMPM",121.47872,11.21522,14,"MMP"
"APPMPP",119.64424,12.13985,14,"PMP"
"BPMMPM",121.57495,13.08919,14,"MMP"
"AMMMMM",130.48917,11.73287,14,"MMM"
"APPMPM",124.5435,11.65065,14,"PMP"
"APPPPM",112.29932,18.84289,14,"PPP"
"BMMMPP",121.69685,10.60101,14,"MMP"
"BMMMMP",117.77061,10.93878,14,"MMM"
"APMPMP",113.89992,14.0942,14,"MPM"
"APMPPM",118.76539,12.08676,14,"MPP"
"BMPPMM",112.89176,17.13095,14,"PPM"
"BMPMMP",121.56294,11.11387,14,"PMM"
"AMPMMM",120.91368,11.68046,14,"PMM"
"BMPPMP",117.3154,13.16538,14,"PPM"
"BPMMPP",100.2521,14.88701,14,"MMP"
"AMMMPM",120.55478,11.19467,14,"MMP"
"BPPPMM",117.00671,14.38484,14,"PPM"
"IPPPPP",114.00386,16.75517,14,"PrPrPr"
"AMMPPP",121.08039,11.94087,14,"MPP"
"APMMMM",100.49645,16.33914,14,"MMM"
"BPMMPM",101.46317,16.27056,14,"MMP"
"BPPMPP",103.83297,15.83903,14,"PMP"
"AMPPMP",114.18964,18.06913,14,"PPM"
"APPPMP",119.84363,15.0386,14,"PPM"
"BPPMMP",104.14887,15.52472,14,"PMM"
"APMPPP",117.14755,15.26922,14,"MPP"
"AMMPPM",122.28831,13.81937,14,"MPP"
"BMPPPM",130.19597,15.62197,14,"PPP"
"BMPPMP",122.02804,18.91261,14,"PPM"
"APPMPM",123.57817,10.98467,14,"PMP"
"AMMMPM",86.79672,15.79178,14,"MMP"
"BMMMMP",120.96436,11.83817,14,"MMM"
"BPMPPM",118.45791,12.60575,14,"MPP"
"BMPPPM",116.36055,15.04254,14,"PPP"
"APPMMP",99.68666,15.8204,14,"PMM"
"APMPMP",118.38465,13.10651,14,"MPM"
"APMPPM",117.68583,13.68986,14,"MPP"
"BMMPPP",119.53484,12.80646,14,"MPP"
"AMPMPP",123.25384,10.78729,14,"PMP"
"BPPMPM",88.63847,15.71762,14,"PMP"
"BPPPMP",112.83756,17.90129,14,"PPM"
"AMPPMM",118.70044,15.01819,14,"PPM"
"BMMMMM",122.74273,11.71196,14,"MMM"
"APMMMP",120.77313,11.91849,14,"MMM"
"BPMPMP",118.12393,14.21267,14,"MPM"
"BMMMPP",123.03186,11.98564,14,"MMP"
"BPPPPM",110.79409,18.0488,14,"PPP"
"BPPPMM",122.40884,14.30225,14,"PPM"
"AMPMPM",98.40008,16.29028,14,"PMP"
"APMPMP",121.85497,14.11618,14,"MPM"
"AMMMMP",113.28647,15.10712,14,"MMM"
"APPMPM",133.97361,11.95101,14,"PMP"
"BMPMPP",126.29095,12.47588,14,"PMP"
"BPPPPM",116.36301,16.76014,14,"PPP"
"BPMPMM",118.94043,13.09503,14,"MPM"
"BPMMPP",120.5977,11.4583,14,"MMP"
"APMPMM",117.62382,12.6452,14,"MPM"
"AMMPMP",118.36888,12.48143,14,"MPM"
"AMPMPP",120.44841,11.7776,14,"PMP"
"AMPMMM",119.07203,12.69177,14,"PMM"
"AMPMPP",120.398,12.24395,14,"PMP"
"AMPMMP",122.19218,11.21772,14,"PMM"
"BPPPMP",110.73827,17.92531,14,"PPM"
"BPMMPM",122.17666,11.19929,14,"MMP"
"BMMPMM",118.59964,12.38515,14,"MPM"
"AMMPPM",120.29912,13.05696,14,"MPP"
"APMMPM",121.42149,12.17966,14,"MMP"
"BPPPMP",115.853,16.23781,14,"PPM"
"BPMPMP",120.46385,13.56952,14,"MPM"
"AMPPPM",115.81728,17.34015,14,"PPP"
"APMPPP",123.52584,12.70589,14,"MPP"
"AMMMMP",124.26365,11.31415,14,"MMM"
"AMPMPM",99.14245,16.16379,14,"PMP"
"BPPMMM",97.33748,17.23709,14,"PMM"
"BMPMMM",126.5573,13.80785,14,"PMM"
"BPMPPP",131.2803,14.19073,14,"MPP"
"BMMPPP",125.22655,14.63762,14,"MPP"
"APMMPP",122.47434,11.14615,14,"MMP"
"BPPMMM",95.90043,15.73476,14,"PMM"
"BMMMMP",89.29511,15.6602,14,"MMM"
"AMMMMP",98.29743,14.25745,14,"MMM"
"BMPPPM",114.39484,15.87685,14,"PPP"
"APPPPM",109.00205,17.95978,14,"PPP"
"APPPMM",116.70987,14.06544,14,"PPM"
"IPPPPP",114.27338,15.17296,14,"PrPrPr"
"AMPMPM",80.33532,15.82203,14,"PMP"
"BMMMMM",119.71723,11.07625,14,"MMM"
"BPMPMP",118.23629,11.80226,14,"MPM"
"AMPMPP",87.6395,15.29736,14,"PMP"
"BPPPPM",117.41629,14.95431,14,"PPP"
"APMPMM",113.18526,16.15304,14,"MPM"
"AMMMMP",123.84961,11.49297,14,"MMM"
"APMPMP",117.88818,13.88203,14,"MPM"
"IPPPPP",118.1352,16.33801,14,"PrPrPr"
"BPPMMP",101.51267,16.68777,14,"PMM"
"AMMMPM",96.63345,16.70732,14,"MMP"
"BMMMPM",126.03998,12.47488,14,"MMP"
"BPPPMP",120.80212,15.52707,14,"PPM"
"AMPPPP",118.31114,17.65439,14,"PPP"
"BMMMMM",125.21278,16.41964,14,"MMM"
"AMMPMP",125.07396,15.31781,14,"MPM"
"BMPPMP",119.4631,13.91447,14,"PPM"
"BPPMPM",122.08578,10.63493,14,"PMP"
"AMMPPP",117.94943,12.53945,14,"MPP"
"BMMPMM",117.94781,12.22896,14,"MPM"
"APMMPM",120.42014,10.23983,14,"MMP"
