"Gene","K","l","Day","LeuLysMet","pH_day","A"
"APPMPM",117.15799,10.75581,21,"PMP","19_0425","A"
"BPPMMP",114.65829,10.76146,21,"PMM","19_0425","A"
"BMMMPP",115.80065,11.31596,21,"MMP","19_0425","A"
"AMMPPM",116.34212,12.55552,21,"MPP","19_0425","A"
"APMPMP",116.60913,12.44478,21,"MPM","19_0425","A"
"BMMMMM",114.23312,10.30607,21,"MMM","19_0425","A"
"BMPPMM",115.08845,9.2412,21,"PPM","19_0425","A"
"IPPPPP",115.21516,9.72653,21,"PrPrPr","19_0425","A"
"AMPMMM",112.31017,15.93307,21,"PMM","19_0425","A"
"AMMMMM",100.7699,17.3643,21,"MMM","19_0425","A"
"BPMMPP",114.8768,10.14658,21,"MMP","19_0425","A"
"BMMPPP",112.18623,11.45442,21,"MPP","19_0425","A"
"BPPMMM",112.7675,9.41138,21,"PMM","19_0425","A"
"AMPMPM",111.92518,9.46442,21,"PMP","19_0425","A"
"AMMPPP",111.90155,11.50516,21,"MPP","19_0425","A"
"BPPMMM",105.77169,12.15173,21,"PMM","19_0425","A"
"BPMMPM",112.00291,9.72512,21,"MMP","19_0425","A"
"BPPMPM",108.7059,12.50016,21,"PMP","19_0425","A"
"AMPPMP",112.4145,9.19247,21,"PPM","19_0425","A"
"BMMPPP",112.97108,10.95613,21,"MPP","19_0425","A"
"BPPMMP",103.97991,17.70567,21,"PMM","19_0425","A"
"APMMMP",115.25914,10.28332,21,"MMM","19_0425","A"
"AMMPPM",113.14342,10.39174,21,"MPP","19_0425","A"
"AMPPMM",113.98662,8.38156,21,"PPM","19_0425","A"
"BMMPPM",121.33073,12.21147,21,"MPP","19_0425","A"
"BPPPMM",117.92525,9.85626,21,"PPM","19_0425","A"
"BMPMMP",117.38446,11.23023,21,"PMM","19_0425","A"
"AMMPMP",115.26918,10.5212,21,"MPM","19_0425","A"
"APPMPP",115.69051,10.68203,21,"PMP","19_0425","A"
"BMPMPM",95.80032,14.09282,21,"PMP","19_0425","A"
"APMPMM",116.01314,11.20874,21,"MPM","19_0425","A"
"APMMPP",116.32458,9.9379,21,"MMP","19_0425","A"
"AMMMPP",106.79098,12.71717,21,"MMP","19_0425","A"
"AMPPMM",119.06593,9.475,21,"PPM","19_0425","A"
"BPPMPM",102.80892,12.60742,21,"PMP","19_0425","A"
"AMMMPP",104.70216,12.26611,21,"MMP","19_0425","A"
"APPPMM",113.15501,8.61264,21,"PPM","19_0425","A"
"BPPMMM",114.35383,9.68114,21,"PMM","19_0425","A"
"BMMPMP",110.44729,10.88526,21,"MPM","19_0425","A"
"BPMPPP",112.08959,12.00299,21,"MPP","19_0425","A"
"BMPMPP",102.00602,12.73861,21,"PMP","19_0425","A"
"BMPMMM",94.86422,13.7608,21,"PMM","19_0425","A"
"APMPMM",113.87357,9.7453,21,"MPM","19_0425","A"
"BPMPMP",111.94448,11.76715,21,"MPM","19_0425","A"
"APMPPM",113.61061,11.06194,21,"MPP","19_0425","A"
"AMPMPP",105.43342,12.06281,21,"PMP","19_0425","A"
"BMPMMP",116.69431,8.95965,21,"PMM","19_0425","A"
"APMPPM",123.0953,11.17826,21,"MPP","19_0425","A"
"BMPMPP",122.64601,11.48113,21,"PMP","19_0425","A"
"AMMPPM",110.39661,14.19143,21,"MPP","19_0425","A"
"BPMPMM",110.47374,12.84226,21,"MPM","19_0425","A"
"AMPMMP",82.66242,15.31303,21,"PMM","19_0425","A"
"APMPMM",110.5094,12.5668,21,"MPM","19_0425","A"
"BPMPPM",112.13341,12.80713,21,"MPP","19_0425","A"
"IPPMPP",99.8565,13.74725,21,"PMP","19_0425","A"
