"Gene","K","l","Day","LeuLysMet","pH_day","A"
"APPMPM",113.62796,19.11889,31,"PMP","19_0503","A"
"BPPMMP",117.33889,11.63783,31,"PMM","19_0503","A"
"BMMMPP",107.76912,16.61918,31,"MMP","19_0503","A"
"AMMPPM",112.65052,14.39198,31,"MPP","19_0503","A"
"APMPMP",114.26456,11.90764,31,"MPM","19_0503","A"
"BMMMMM",114.49752,10.72152,31,"MMM","19_0503","A"
"BMPPMM",115.93558,10.2556,31,"PPM","19_0503","A"
"IPPPPP",114.84686,12.50878,31,"PrPrPr","19_0503","A"
"AMPMMM",118.28332,12.10816,31,"PMM","19_0503","A"
"AMMMMM",114.08937,17.0172,31,"MMM","19_0503","A"
"BPMMPP",107.30173,18.56953,31,"MMP","19_0503","A"
"BMMPPP",110.46277,13.26555,31,"MPP","19_0503","A"
"BPPMMM",109.98419,13.17033,31,"PMM","19_0503","A"
"AMPMPM",108.48495,13.59244,31,"PMP","19_0503","A"
"AMMPPP",112.37618,12.19934,31,"MPP","19_0503","A"
"BPPMMM",102.18423,17.39965,31,"PMM","19_0503","A"
"BPMMPM",116.78049,11.84212,31,"MMP","19_0503","A"
"BPPMPM",89.44797,25.4599,31,"PMP","19_0503","A"
"AMPPMP",111.67205,13.21047,31,"PPM","19_0503","A"
"BMMPPP",114.79969,13.53235,31,"MPP","19_0503","A"
"BPPMMP",107.48798,16.66411,31,"PMM","19_0503","A"
"APMMMP",115.51966,12.4617,31,"MMM","19_0503","A"
"AMMPPM",115.16835,12.70585,31,"MPP","19_0503","A"
"AMPPMM",121.00983,13.79899,31,"PPM","19_0503","A"
"BMMPPM",118.80735,14.25759,31,"MPP","19_0503","A"
"BPPPMM",120.14402,11.40217,31,"PPM","19_0503","A"
"BMPMMP",116.22873,11.82232,31,"PMM","19_0503","A"
"AMMPMP",114.79224,12.38983,31,"MPM","19_0503","A"
"APPMPP",116.74464,11.39726,31,"PMP","19_0503","A"
"BMPMPM",93.50795,16.58925,31,"PMP","19_0503","A"
"APMPMM",115.07918,12.05178,31,"MPM","19_0503","A"
"APMMPP",97.95356,15.97152,31,"MMP","19_0503","A"
"AMMMPP",103.53681,17.30533,31,"MMP","19_0503","A"
"AMPPMM",116.32212,11.35006,31,"PPM","19_0503","A"
"BPPMPM",113.6307,12.58448,31,"PMP","19_0503","A"
"AMMMPP",116.33224,11.23156,31,"MMP","19_0503","A"
"APPPMM",111.79775,13.05813,31,"PPM","19_0503","A"
"BPPMMM",115.08595,11.28559,31,"PMM","19_0503","A"
"BMMPMP",110.26538,14.55423,31,"MPM","19_0503","A"
"BPMPPP",112.49072,12.32514,31,"MPP","19_0503","A"
"BMPMPP",115.42988,11.90459,31,"PMP","19_0503","A"
"BMPMMM",97.30795,18.22869,31,"PMM","19_0503","A"
"APMPMM",115.66423,13.67313,31,"MPM","19_0503","A"
"BPMPMP",111.45501,13.1895,31,"MPM","19_0503","A"
"APMPPM",108.04379,15.02748,31,"MPP","19_0503","A"
"AMPMPP",105.27565,19.40464,31,"PMP","19_0503","A"
"BMPMMP",115.37851,11.61528,31,"PMM","19_0503","A"
"APMPPM",123.42625,12.97036,31,"MPP","19_0503","A"
"BMPMPP",117.71247,14.34119,31,"PMP","19_0503","A"
"AMMPPM",111.92367,14.89911,31,"MPP","19_0503","A"
"BPMPMM",105.43207,14.48955,31,"MPM","19_0503","A"
"AMPMMP",90.79222,16.58298,31,"PMM","19_0503","A"
"APMPMM",113.56667,12.83719,31,"MPM","19_0503","A"
"BPMPPM",110.55356,14.20799,31,"MPP","19_0503","A"
"IPPMPP",117.73901,11.33373,31,"PMP","19_0503","A"
"BPPMMP",107.77134,16.25201,31,"PMM","19_0503","A"
"AMPMPP",96.65412,16.36227,31,"PMP","19_0503","A"
"BPPMPP",97.73085,16.63162,31,"PMP","19_0503","A"
"BPPPMP",113.776,10.23755,31,"PPM","19_0503","A"
"AMMMMM",113.36486,10.54495,31,"MMM","19_0503","A"
"BMMPMM",109.67132,11.47926,31,"MPM","19_0503","A"
"APMPPM",110.04776,13.62401,31,"MPP","19_0503","A"
"APMMPM",108.61198,14.36225,31,"MMP","19_0503","A"
"BMPPMP",111.4157,13.28353,31,"PPM","19_0503","A"
"BPMPMP",109.21488,13.70042,31,"MPM","19_0503","A"
"BPMMMM",115.88605,10.44888,31,"MMM","19_0503","A"
"APMPPP",111.58612,12.85563,31,"MPP","19_0503","A"
"IPPPPP",113.56547,13.83449,31,"PrPrPr","19_0503","A"
"AMPMPM",117.64105,13.70154,31,"PMP","19_0503","A"
"AMMMMM",97.86813,17.75143,31,"MMM","19_0503","A"
"BMPMMM",86.68719,21.48631,31,"PMM","19_0503","A"
"AMPPPP",123.52972,14.26008,31,"PPP","19_0503","A"
"BMPPMP",119.41687,15.54087,31,"PPM","19_0503","A"
"BPPMPM",117.44117,10.53381,31,"PMP","19_0503","A"
"APMMMM",110.21908,12.65259,31,"MMM","19_0503","A"
"APMPMP",109.29988,13.81658,31,"MPM","19_0503","A"
"AMMPPM",113.49177,12.89473,31,"MPP","19_0503","A"
"BMMPMM",108.55228,13.91482,31,"MPM","19_0503","A"
"BPPMPP",116.40613,12.1725,31,"PMP","19_0503","A"
"AMPMPM",94.96575,15.86642,31,"PMP","19_0503","A"
"BPMMPM",90.66316,16.6956,31,"MMP","19_0503","A"
