"Gene","K","l","Day","LeuLysMet","pH_day","A"
"AMMPPP",119.496,14.63109,31,"MPP","19_0503",NA
"APPPPM",117.92894,15.15004,31,"PPP","19_0503",NA
"APPPMM",116.26483,14.85181,31,"PPM","19_0503",NA
"APMPMP",112.28241,14.89844,31,"MPM","19_0503",NA
"BMMMMP",113.1619,15.14586,31,"MMM","19_0503",NA
"BMPMPP",101.80473,19.46095,31,"PMP","19_0503",NA
"BPMMPM",100.73146,19.81421,31,"MMP","19_0503",NA
"BMMMMM",118.56617,14.47583,31,"MMM","19_0503",NA
"APMMMM",95.80704,19.76822,31,"MMM","19_0503",NA
"BPPMMM",117.80453,14.23101,31,"PMM","19_0503",NA
"AMMPPM",115.00766,13.24255,31,"MPP","19_0503",NA
"BMMPMP",111.86167,13.75424,31,"MPM","19_0503",NA
"BMPMPP",116.12676,15.34124,31,"PMP","19_0503",NA
"AMMPPP",112.67366,14.73468,31,"MPP","19_0503",NA
"BPPPMP",114.71106,15.83963,31,"PPM","19_0503",NA
"APPMPM",115.77073,15.46417,31,"PMP","19_0503",NA
"BPPPMP",115.39686,13.06568,31,"PPM","19_0503",NA
"BMPPMP",114.8959,14.89513,31,"PPM","19_0503",NA
"AMPPMP",100.35283,17.19566,31,"PPM","19_0503",NA
"BPMPPM",117.01054,14.27091,31,"MPP","19_0503",NA
"AMMMPM",117.01257,16.33263,31,"MMP","19_0503",NA
"APPMPP",114.75316,15.49286,31,"PMP","19_0503",NA
"BPMMPM",118.98224,14.86329,31,"MMP","19_0503",NA
"AMMMMM",129.02163,15.25165,31,"MMM","19_0503",NA
"APPMPM",124.55196,16.03297,31,"PMP","19_0503",NA
"APPPPM",121.89277,13.30377,31,"PPP","19_0503",NA
"BMMMPP",121.32964,14.72395,31,"MMP","19_0503",NA
"BMMMMP",88.34082,20.39209,31,"MMM","19_0503",NA
"APMPMP",116.66906,14.55753,31,"MPM","19_0503",NA
"APMPPM",119.33593,14.71853,31,"MPP","19_0503",NA
"BMPPMM",118.15879,13.27021,31,"PPM","19_0503",NA
"BMPMMP",119.88303,15.11543,31,"PMM","19_0503",NA
"AMPMMM",106.36415,18.9045,31,"PMM","19_0503",NA
"BMPPMP",119.79605,14.94826,31,"PPM","19_0503",NA
"BPMMPP",119.71883,13.04049,31,"MMP","19_0503",NA
"AMMMPM",114.11339,13.23517,31,"MMP","19_0503",NA
"BPPPMM",115.58807,15.61907,31,"PPM","19_0503",NA
"IPPPPP",115.63893,14.22167,31,"PrPrPr","19_0503",NA
"AMMPPP",117.67423,14.59591,31,"MPP","19_0503",NA
"APMMMM",118.7684,14.3373,31,"MMM","19_0503",NA
"BPMMPM",99.16264,16.4628,31,"MMP","19_0503",NA
"BPPMPP",108.02351,19.26833,31,"PMP","19_0503",NA
"AMPPMP",119.08008,15.16448,31,"PPM","19_0503",NA
"APPPMP",117.22542,14.49942,31,"PPM","19_0503",NA
"BPPMMP",116.37088,16.47893,31,"PMM","19_0503",NA
"APMPPP",120.00936,14.826,31,"MPP","19_0503",NA
"AMMPPM",122.64301,13.08912,31,"MPP","19_0503",NA
"BMPPPM",128.42652,13.40542,31,"PPP","19_0503",NA
"BMPPMP",124.37375,14.10262,31,"PPM","19_0503",NA
"APPMPM",120.77877,14.24548,31,"PMP","19_0503",NA
"AMMMPM",120.73713,15.00628,31,"MMP","19_0503",NA
"BMMMMP",109.38474,15.82511,31,"MMM","19_0503",NA
"BPMPPM",120.22232,13.41888,31,"MPP","19_0503",NA
"BMPPPM",121.28607,15.69806,31,"PPP","19_0503",NA
"APPMMP",120.8562,14.88877,31,"PMM","19_0503",NA
"APMPMP",116.80615,16.9276,31,"MPM","19_0503",NA
"APMPPM",117.39891,16.36518,31,"MPP","19_0503",NA
"BMMPPP",120.54591,14.85711,31,"MPP","19_0503",NA
"AMPMPP",119.68735,17.24353,31,"PMP","19_0503",NA
"BPPMPM",120.10415,14.68347,31,"PMP","19_0503",NA
"BPPPMP",116.8724,14.54995,31,"PPM","19_0503",NA
"AMPPMM",115.78764,15.94895,31,"PPM","19_0503",NA
"BMMMMM",117.69895,14.91126,31,"MMM","19_0503",NA
"APMMMP",114.52954,14.3398,31,"MMM","19_0503",NA
"BPMPMP",114.35691,14.12428,31,"MPM","19_0503",NA
"BMMMPP",117.5623,15.04782,31,"MMP","19_0503",NA
"BPPPPM",120.10714,14.7126,31,"PPP","19_0503",NA
"BPPPMM",119.27556,14.66002,31,"PPM","19_0503",NA
"AMPMPM",122.00987,15.91594,31,"PMP","19_0503",NA
"APMPMP",116.51018,14.42958,31,"MPM","19_0503",NA
"AMMMMP",123.88586,13.29108,31,"MMM","19_0503",NA
"APPMPM",131.09999,14.90435,31,"PMP","19_0503",NA
"BMPMPP",125.90037,15.91826,31,"PMP","19_0503",NA
"BPPPPM",121.8096,14.09891,31,"PPP","19_0503",NA
"BPMPMM",115.58682,14.97246,31,"MPM","19_0503",NA
"BPMMPP",114.31357,17.54219,31,"MMP","19_0503",NA
"APMPMM",114.94981,16.80067,31,"MPM","19_0503",NA
"AMMPMP",114.32791,16.19255,31,"MPM","19_0503",NA
"AMPMPP",114.76862,15.89644,31,"PMP","19_0503",NA
"AMPMMM",116.23979,15.21671,31,"PMM","19_0503",NA
"AMPMPP",117.96871,16.31256,31,"PMP","19_0503",NA
"AMPMMP",120.02659,14.61086,31,"PMM","19_0503",NA
"BPPPMP",116.42629,15.67687,31,"PPM","19_0503",NA
"BPMMPM",120.29173,15.14456,31,"MMP","19_0503",NA
"BMMPMM",113.65703,16.10115,31,"MPM","19_0503",NA
"AMMPPM",102.11976,16.03452,31,"MPP","19_0503",NA
"APMMPM",117.37827,15.13412,31,"MMP","19_0503",NA
"BPPPMP",115.05278,14.14793,31,"PPM","19_0503",NA
"BPMPMP",113.48267,15.88388,31,"MPM","19_0503",NA
"AMPPPM",119.20291,13.92721,31,"PPP","19_0503",NA
"APMPPP",121.09284,14.57806,31,"MPP","19_0503",NA
"AMMMMP",119.84272,14.68059,31,"MMM","19_0503",NA
"AMPMPM",111.64116,16.07077,31,"PMP","19_0503",NA
"BPPMMM",116.2212,16.45344,31,"PMM","19_0503",NA
"BMPMMM",108.18495,20.70619,31,"PMM","19_0503",NA
"BPMPPP",130.06235,15.67128,31,"MPP","19_0503",NA
